location,product,product_name,z_value,review_days,objective,service_level,actual_service_level,service_level_delta_vs_actual,avg_inventory_value,actual_avg_inventory_value,inventory_value_delta_vs_actual,total_ordering_cost,total_lost_sales_units,total_orders,total_forecast_units,total_actual_units,horizon_days,series_days
1314,15590,ANTUX GTS 20ML,2.05,5,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.05,7,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.05,10,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.05,14,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.33,5,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.33,7,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.33,10,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.33,14,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.58,5,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.58,7,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.58,10,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,15590,ANTUX GTS 20ML,2.58,14,127.1689,1.0,1.0,0.0,126.2517,84.9111,41.3406,84.38,0.0,2,1.5131,2.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,0.84,5,1440.4783,1.0,0.978261,0.021739,1440.0596,410.667,1029.3926,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.04,5,1476.1983,1.0,0.978261,0.021739,1475.7796,410.667,1065.1126,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.28,5,1520.8483,1.0,0.978261,0.021739,1520.4296,410.667,1109.7626,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,0.84,7,1590.254,1.0,0.978261,0.021739,1589.9283,410.667,1179.2613,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.65,5,1592.2883,1.0,0.978261,0.021739,1591.8696,410.667,1181.2026,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.04,7,1625.974,1.0,0.978261,0.021739,1625.6483,410.667,1214.9813,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.05,5,1663.7283,1.0,0.978261,0.021739,1663.3096,410.667,1252.6426,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.28,7,1670.624,1.0,0.978261,0.021739,1670.2983,410.667,1259.6313,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.33,5,1717.3083,1.0,0.978261,0.021739,1716.8896,410.667,1306.2226,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.65,7,1742.064,1.0,0.978261,0.021739,1741.7383,410.667,1331.0713,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.58,5,1761.9583,1.0,0.978261,0.021739,1761.5396,410.667,1350.8726,38.52,0.0,9,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.05,7,1813.504,1.0,0.978261,0.021739,1813.1783,410.667,1402.5113,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.33,7,1867.084,1.0,0.978261,0.021739,1866.7583,410.667,1456.0913,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,2.58,7,1911.734,1.0,0.978261,0.021739,1911.4083,410.667,1500.7413,29.96,0.0,7,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,0.84,10,1947.4579,1.0,0.978261,0.021739,1947.2253,410.667,1536.5584,21.4,0.0,5,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.04,10,1983.1779,1.0,0.978261,0.021739,1982.9453,410.667,1572.2784,21.4,0.0,5,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.28,10,2027.8279,1.0,0.978261,0.021739,2027.5953,410.667,1616.9284,21.4,0.0,5,2049.4255,1074.0,92,92
1314,18064,NEOSORO SOLUCAO NASAL ADULTO 30ML,1.65,10,2099.2679,1.0,0.978261,0.021739,2099.0353,410.667,1688.3684,21.4,0.0,5,2049.4255,1074.0,92,92
